PM2.5,PM10,NO2,NH3,CO,SO2,O3,AQI,Remark
20.21,112.48,23.91,21.23,0.47,12.6,23.43,106,Moderate
18.52,91.71,16.41,18.05,0.34,6.74,29.91,100,Satisfactory
25.59,51.48,18.33,20.07,0.43,12.46,28.73,68,Satisfactory
21.79,70.1,21.95,21.89,0.5,8.64,26.4,61,Satisfactory
24,75.21,15.65,19.74,0.38,11.1,30.57,71,Satisfactory
18.47,80,28.8,35.2,0.95,2.9,17.6,77,Satisfactory
16.73,52.91,16.89,16.57,0.8,11.49,22.14,111,Moderate
18.72,40.15,16.05,19.69,0.44,9.02,20.11,47,Good
11.39,57.71,25.46,22.11,0.42,12.33,18.28,47,Good
10.62,28.72,11.2,24.46,0.39,9.47,21.17,48,Good
8.1,19.96,9.32,17.43,0.59,10.32,14.62,49,Good
9.28,15.83,8.58,11.88,0.77,8.72,14.52,50,Good
7.45,16.42,7.85,14.27,0.92,8.12,12.29,57,Satisfactory
15.32,20.5,8.92,14.63,0.88,8.35,16.01,60,Satisfactory
8.84,45.04,10.48,15.07,0.88,8.93,14.12,52,Satisfactory
11.39,23.71,6.74,18.92,0.95,8.39,21.01,54,Satisfactory
12.51,24.61,7.96,13.6,0.96,11.82,26.34,63,Satisfactory
8.71,32.52,6.6,14.61,0.86,9.47,28.28,53,Satisfactory
11.3,14.17,6.04,20.04,1.03,8.12,22.3,56,Satisfactory
7,27.28,11.69,9.62,1.2,9.05,24.93,112,Moderate
15.76,7.8,7.66,17.12,1.08,8.39,17.77,75,Satisfactory
18.79,40.74,19.03,16.38,1.36,9.46,23.34,89,Satisfactory
15.05,60.26,20.45,18.52,1.1,10.01,22.54,76,Satisfactory
10.1,43.47,14.59,19.91,0.95,10.12,22.85,78,Satisfactory
14.43,23.92,13.33,19.26,0.87,9.24,20.67,66,Satisfactory
22.65,43.47,16.04,17.73,0.95,9.76,24.54,61,Satisfactory
28.45,57.46,16.8,19.88,1.18,8.89,29.44,83,Satisfactory
24.94,81.89,19.36,20.7,1.39,9.78,29.76,87,Satisfactory
26.24,69.22,19.99,20.42,1.4,11.98,28.1,97,Satisfactory
30.6,62.75,21.34,24.55,1.68,11.17,27.98,98,Satisfactory
21.81,76.16,24.63,22.37,1.71,11.64,24.36,99,Satisfactory
24.22,78.68,23.75,21.76,1.64,11.8,29.05,94,Satisfactory
19.82,86.08,26.49,21.11,1.68,11.54,26.93,98,Satisfactory
25.11,71.36,17.14,20.62,1.82,12.89,29.25,102,Moderate
31.3,81.43,21.87,16.71,1.57,11.73,31.81,96,Satisfactory
27.1,101.05,25.22,18.06,1.48,11.06,35.61,90,Satisfactory
33.28,89.38,21.31,23.69,1.54,10.21,28.77,106,Moderate
40.66,75.5,32.4,23.03,1.11,8.91,30.15,88,Satisfactory
40.56,82.62,23.58,21.37,0.76,10.9,38.55,103,Moderate
37.93,66.97,17.56,22.66,0.62,11.29,37.87,76,Satisfactory
31.64,67.4,20.86,19.44,0.78,8.91,34.81,68,Satisfactory
22.12,69.39,18.65,24.14,0.66,9.58,39.56,75,Satisfactory
29.25,34.83,16.1,18.14,1.34,10.48,41.51,89,Satisfactory
38.32,52.84,17.41,17.82,0.81,11.24,42.2,79,Satisfactory
35.02,80.97,26.27,18.04,0.65,13.38,25.95,65,Satisfactory
24.29,71.42,21.04,19.86,0.74,6.28,41.37,80,Satisfactory
19.69,50.33,13.45,18.22,0.97,14.1,47.86,81,Satisfactory
18.81,50.18,12.18,16.71,0.43,12.28,27.91,52,Satisfactory
26.13,50.51,14.01,15.48,0.92,14.67,20.67,89,Satisfactory
24.08,60.44,22.94,19.43,0.82,27,30.84,59,Satisfactory
21.81,45.81,27.49,18.56,0.84,13.47,27.49,62,Satisfactory
14.58,37.31,28.22,19.6,0.62,17.33,25.36,52,Satisfactory
8.98,41.04,15.29,15.78,0.85,14.92,20.11,61,Satisfactory
9.7,37.07,12.51,18.93,0.75,8.48,21.47,49,Good
25.88,30.1,13.81,16.77,0.72,7.25,14.92,48,Good
49.7,56.44,17.79,15.01,0.84,12.41,27.48,56,Satisfactory
68.66,109.35,25.91,17.96,0.76,14.31,46.63,80,Satisfactory
65.16,163.06,36.24,26.12,0.86,10.92,28.42,121,Moderate
52.88,184.84,52.69,18.53,1.07,25.5,37.46,142,Moderate
40.99,172.08,26.45,21.36,0.81,31.74,57.33,154,Moderate
47.2,122.69,29.54,17.01,0.6,24.37,44.5,130,Moderate
39.22,116.44,28.13,19.97,0.88,16.73,36.92,109,Moderate
36.86,102.6,24.58,22.01,0.95,10.6,25.73,113,Moderate
34.41,76.61,27.36,20.86,1.09,9.33,21.11,91,Satisfactory
22.05,72.03,25.38,19.19,1.07,10.8,21.99,77,Satisfactory
71.31,48.93,18.92,19.77,0.94,10.51,26.78,80,Satisfactory
63.54,155.98,25.88,14.58,1.29,11.32,34.32,149,Moderate
56.53,130.58,25.81,15.53,1.17,19.34,47.53,133,Moderate
69.42,128.8,36.38,16.01,1.18,13.43,41.17,122,Moderate
53.53,167.05,45.82,14.06,1.35,23.42,39,133,Moderate
48.33,119.1,38.23,13.73,0.88,15.52,37.22,133,Moderate
58.65,115.41,36.77,15.37,1.16,28.74,37.42,118,Moderate
12.7,125.68,36.24,14.82,1.26,14.54,31.09,118,Moderate
16.86,38.49,30.66,1.62,0.89,8.59,23.45,75,Satisfactory
21.58,36.56,26.48,2.72,0.55,10.19,21.33,45,Good
23.22,68.71,39.44,3.41,0.73,10.43,19.42,61,Satisfactory
28.39,64.84,39.56,2.15,0.89,10.33,21.33,86,Satisfactory
51.51,71.27,45.23,0.3,1.04,10.36,35.14,70,Satisfactory
56.85,111.28,57.93,2.03,1.07,12.3,26.53,105,Moderate
68.25,115.5,62.91,2.73,0.82,18.89,27.44,106,Moderate
84.48,129.41,65,3.53,1.22,25.14,30.3,120,Moderate
77.38,164.24,80.74,3.19,1.21,30.44,33.39,156,Moderate
71.23,173.47,75.54,4.88,1.15,30.69,35.94,182,Moderate
16.21,160.66,89.44,3.45,1.48,38.91,32.4,144,Moderate
19.48,48,43.42,8.82,0.87,7.51,17.51,64,Satisfactory
26.8,46.57,35.92,10.76,0.84,7.49,15.47,56,Satisfactory
48.35,66.67,38.81,9.87,1.03,9.65,22.63,80,Satisfactory
50.02,100.01,38.27,10.18,1.07,12.15,35.86,88,Satisfactory
85.11,100.82,47.93,7.09,0.89,16.66,43.61,102,Moderate
93.95,183.15,97.16,3.61,1.28,17.17,37.99,189,Moderate
80.96,190.73,105.22,3.81,1.81,20.78,39.9,190,Moderate
77.86,152.44,89.01,2.95,1.51,15.71,41.41,215,Poor
70.89,159.49,90.28,4.66,1.16,14.21,22.45,145,Moderate
74.34,125.4,68.12,1.79,1.17,13.87,29.82,160,Moderate
97.09,129.57,69.78,3.38,1.09,14.03,33.95,130,Moderate
89.63,143.69,86.95,1.52,1.11,13.62,33.03,176,Moderate
100.1,137.58,76.89,10.9,1.6,14.31,32.5,245,Poor
110.12,155.25,92.4,6.31,0.76,10.86,27.99,209,Poor
111.21,172.67,92.9,8.66,1.37,11.12,33.26,256,Poor
107.24,170.04,76.7,10.99,1.47,10.17,31.17,266,Poor
89.07,162.72,72.27,13.91,1.14,9.58,28.5,276,Poor
93.1,160.83,72.19,17.31,1.23,11.7,29.51,218,Poor
90.61,163.9,77.58,16.59,0.97,13.75,33.59,206,Poor
96.57,164.19,74.89,16.85,1.07,17.68,31.59,180,Moderate
78.15,174.31,57.77,18.28,1.1,23.81,39.75,217,Poor
19.26,137.52,50.62,20.78,0.96,23.87,26.46,211,Poor
10.89,22.54,30.38,21.15,0.7,10.94,18.91,90,Satisfactory
16.38,19.98,28.6,22.45,0.45,12.41,17.5,49,Good
48.88,33.04,39.69,23.12,0.67,44.59,19.12,46,Good
55.24,84.99,63.12,19.24,0.94,29.45,23.97,81,Satisfactory
83.4,81.9,55.65,17.93,1.17,13.62,27.34,89,Satisfactory
93.78,121.25,46.47,20.01,1,12.32,32.68,136,Moderate
92.72,142.65,67.51,19.51,1.34,42.75,29.16,199,Moderate
76.48,135.61,77.45,19.49,1.16,20.19,24.79,221,Poor
73.19,114.53,69.63,18.65,1.08,13.32,24.73,178,Moderate
82.53,127.1,69.17,21.66,0.92,25.43,22.5,119,Moderate
95.18,145.06,67.17,21.34,1.01,28.57,24.03,153,Moderate
79.29,154.73,76.4,15.29,1.34,33.25,30.68,202,Poor
83.17,136.71,74.24,15.82,1.1,40.52,28.79,191,Moderate
109.97,140.9,83.38,15.16,1.09,30.85,24.84,183,Moderate
139.38,189.28,124.57,10.65,1.38,48.92,30.25,210,Poor
